model,file,true,pred,conf
SSD-MobileNet,dataset/test/no_tumor/no1157.jpg,no_tumor,no_tumor,0.9999818801879883
SSD-MobileNet,dataset/test/no_tumor/no1143.jpg,no_tumor,no_tumor,0.9999903440475464
SSD-MobileNet,dataset/test/no_tumor/no1194.jpg,no_tumor,no_tumor,0.9999996423721313
SSD-MobileNet,dataset/test/no_tumor/no1180.jpg,no_tumor,no_tumor,0.9999932050704956
SSD-MobileNet,dataset/test/no_tumor/no1221.jpg,no_tumor,no_tumor,0.9999986886978149
SSD-MobileNet,dataset/test/no_tumor/no1235.jpg,no_tumor,no_tumor,0.9999058246612549
SSD-MobileNet,dataset/test/no_tumor/no1209.jpg,no_tumor,no_tumor,1.0
SSD-MobileNet,dataset/test/no_tumor/no1208.jpg,no_tumor,no_tumor,0.9999645948410034
SSD-MobileNet,dataset/test/no_tumor/no1234.jpg,no_tumor,no_tumor,0.9999992847442627
SSD-MobileNet,dataset/test/no_tumor/no1220.jpg,no_tumor,no_tumor,0.9999923706054688
SSD-MobileNet,dataset/test/no_tumor/no1181.jpg,no_tumor,no_tumor,0.999998927116394
SSD-MobileNet,dataset/test/no_tumor/no1195.jpg,no_tumor,no_tumor,0.9986438155174255
SSD-MobileNet,dataset/test/no_tumor/no1142.jpg,no_tumor,no_tumor,0.9980413913726807
SSD-MobileNet,dataset/test/no_tumor/no1156.jpg,no_tumor,no_tumor,0.9999972581863403
SSD-MobileNet,dataset/test/no_tumor/no1140.jpg,no_tumor,no_tumor,0.9685649275779724
SSD-MobileNet,dataset/test/no_tumor/no1154.jpg,no_tumor,no_tumor,0.9999959468841553
SSD-MobileNet,dataset/test/no_tumor/no1168.jpg,no_tumor,no_tumor,0.9999985694885254
SSD-MobileNet,dataset/test/no_tumor/no1183.jpg,no_tumor,no_tumor,0.8981572389602661
SSD-MobileNet,dataset/test/no_tumor/no1197.jpg,no_tumor,no_tumor,0.9941920638084412
SSD-MobileNet,dataset/test/no_tumor/no1236.jpg,no_tumor,no_tumor,0.9999985694885254
SSD-MobileNet,dataset/test/no_tumor/no1222.jpg,no_tumor,no_tumor,1.0
SSD-MobileNet,dataset/test/no_tumor/no1223.jpg,no_tumor,no_tumor,0.9496299028396606
SSD-MobileNet,dataset/test/no_tumor/no1237.jpg,no_tumor,no_tumor,0.9999674558639526
SSD-MobileNet,dataset/test/no_tumor/no1196.jpg,no_tumor,no_tumor,0.9999998807907104
SSD-MobileNet,dataset/test/no_tumor/no1182.jpg,no_tumor,no_tumor,0.9994602799415588
SSD-MobileNet,dataset/test/no_tumor/no1169.jpg,no_tumor,no_tumor,0.9639642834663391
SSD-MobileNet,dataset/test/no_tumor/no1155.jpg,no_tumor,no_tumor,0.9995225667953491
SSD-MobileNet,dataset/test/no_tumor/no1141.jpg,no_tumor,no_tumor,0.9999548196792603
SSD-MobileNet,dataset/test/no_tumor/no1179.jpg,no_tumor,no_tumor,0.9999982118606567
SSD-MobileNet,dataset/test/no_tumor/no1145.jpg,no_tumor,no_tumor,0.9999805688858032
SSD-MobileNet,dataset/test/no_tumor/no1151.jpg,no_tumor,no_tumor,0.9999996423721313
SSD-MobileNet,dataset/test/no_tumor/no1186.jpg,no_tumor,no_tumor,0.9882338047027588
SSD-MobileNet,dataset/test/no_tumor/no1192.jpg,no_tumor,no_tumor,0.999988317489624
SSD-MobileNet,dataset/test/no_tumor/no1233.jpg,no_tumor,no_tumor,0.9999996423721313
SSD-MobileNet,dataset/test/no_tumor/no1227.jpg,no_tumor,no_tumor,1.0
SSD-MobileNet,dataset/test/no_tumor/no1226.jpg,no_tumor,no_tumor,0.9999779462814331
SSD-MobileNet,dataset/test/no_tumor/no1232.jpg,no_tumor,no_tumor,0.9995507597923279
SSD-MobileNet,dataset/test/no_tumor/no1193.jpg,no_tumor,no_tumor,0.9999992847442627
SSD-MobileNet,dataset/test/no_tumor/no1187.jpg,no_tumor,no_tumor,0.9999934434890747
SSD-MobileNet,dataset/test/no_tumor/no1150.jpg,no_tumor,no_tumor,0.9999597072601318
